date,time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density,temperature_2m_mean,rain_sum,shortwave_radiation_sum,wind_speed_10m_max,NP_ratio,temp_oxygen_index,eutrophication_index,water_quality_index,nutrient_pollution_index,temp_ph_interaction,NH_TN_ratio,oxygen_saturation_index,nutrient_limitation,light_turbidity_index,rain_temp_interaction,wind_turbidity_index,radiation_temp_ratio,conductivity_rain_index,wind_oxygen_mixing,thermal_stratification_index,nutrient_runoff_potential,light_availability_index,weather_stress_index,pH_conductivity_stability,temp_turbidity_metabolism,oxygen_pH_balance,nutrient_temp_efficiency,radiation_nutrient_productivity,wind_mixing_efficiency,precipitation_nutrient_loading,thermal_oxygen_capacity,pH_oxygen_photosynthesis,conductivity_turbidity_clarity,wind_radiation_mixing,temp_conductivity_density,nutrient_redox_potential,light_penetration_depth,metabolic_activity_index,hydrodynamic_mixing_index,biogeochemical_cycling_index,ecological_stress_index,water_column_stability,algal_growth_potential,environmental_capacity_index
2021-01-01,20210101,虎丘,晴,5,-4,50,1,西风,2级,优,2.7,7.49,12.44,5.0,0.025,0.059,,348.5,142.2,0.001,4089990.0,-0.9,0.0,12.96,11.7,4.597964891111039,33.588,1.353,163.677,0.0007786312499999,20.223000000000003,-0.0219473874079137,0.9146299166651012,0.0044374999999999,0.0069832402234636,0.0,714.7900125,1.429746485618134,348.5,145.54799999999997,0.2288135593220339,-0.0,0.0905027932960894,2.6228518838693624,45.36233158879247,0.0309815133784346,2.9868440000000023,0.0949754296602237,1.168611653202209,28.47381284916201,0.0,0.0961030042918455,0.159610176,0.0172338422220727,26.195423481054306,0.3937867129672801,-0.1525425425425426,0.0150837988826815,1.697531174089069,23.42602892102336,-0.0163475712522186,0.5029641288922148,6.7577563918414265,-0.0011352043285092,0.0
2021-01-02,20210102,虎丘,晴-多云,7,-1,72,2,东北风,2级,良,4.3,7.49,12.22,4.28,0.025,0.053,,348.1,103.8,0.002,3602160.0,0.3,0.0,12.69,13.3,4.597964891111039,52.546,1.111,148.197,0.0007786312499999,32.207,-0.0219473874079137,0.9378628261413996,0.0044374999999999,0.0095419847328244,0.0,714.7900125,1.429746485618134,348.1,162.526,0.3208955223880597,-0.0,0.1210877862595419,2.509433962264151,45.36233158879247,0.0850827269268217,2.934022000000003,0.0949754296602237,1.168611653202209,44.17681297709924,0.0,0.150518476081352,0.153521082,0.0323049453200983,26.195423481054306,0.6272465625063351,-0.1498448448448449,0.0229332928521859,3.608081591492483,42.422668941473184,-0.0163475712522186,0.5029641288922148,8.336099353976387,-0.0019297836705279,0.0
2021-01-03,20210103,虎丘,雾-多云,10,5,76,2,东风,3级,良,4.5,7.49,12.13,3.58,0.025,0.034,,349.0,81.8,0.0005,2209660.0,3.7,0.0,8.92,19.8,4.597964891111039,54.585,0.8713333333333333,139.667,0.0007786312499999,33.705,-0.0219473874079137,0.935903308286368,0.0044374999999999,0.0120772946859903,0.0,714.7900125,1.429746485618134,349.0,240.17400000000004,0.2261306532663316,-0.0,0.1077294685990338,2.6228518838693624,45.36233158879247,0.1152891491065023,2.9124130000000026,0.0949754296602237,1.168611653202209,83.45652173913045,0.0,0.1559571428571428,0.107117604,0.0521499527811315,26.195423481054306,0.6561743747907588,-0.1487412412412413,0.0235217180347235,4.733059157212318,66.04892512972573,-0.0163475712522186,0.5029641288922148,3.9658089442185793,-0.0007924331103678,0.0
2021-01-04,20210104,虎丘,阴-小雨,11,5,49,1,东风,3级,优,5.5,7.41,11.87,3.57,0.025,0.035,,351.4,84.1,0.002,2768570.0,7.9,0.3,9.42,16.7,4.597964891111039,65.285,0.8683333333333333,141.283,0.0007786312499999,40.755,-0.0219473874079137,0.9402294401659907,0.0044374999999999,0.0117508813160987,0.0461538461538461,714.7900125,1.429746485618134,270.30769230769226,198.229,0.3273809523809524,-0.14475,0.1106933019976498,2.6153846153846154,45.36233158879247,0.1515704270213211,1.995347000000001,0.0949754296602237,1.168611653202209,68.95863689776733,0.5392499999999999,0.1852582292849035,0.101752014,0.0496761999544799,24.202153846153845,0.8011925364512321,-0.1217892892892893,0.0242217291023303,5.455755610691328,67.96655320408465,-0.0163475712522186,0.5029641288922148,6.847718253968253,-0.0012038678324603,12.844211663066954
2021-01-05,20210105,虎丘,阴,8,1,55,2,东北风,3级,良,6.0,7.45,11.85,3.45,0.025,0.038,,350.3,80.4,0.001,2516530.0,6.0,0.0,4.94,24.2,4.597964891111039,71.1,0.8293333333333335,139.485,0.0007786312499999,44.7,-0.0219473874079137,0.9509245253197584,0.0044374999999999,0.0122850122850122,0.0,714.7900125,0.7057142857142857,350.3,264.6838125,0.2469135802469135,-0.0,0.0606879606879606,2.6228518838693624,45.36233158879247,0.1805520694926175,2.3996250000000017,0.0949754296602237,1.168611653202209,104.14324324324323,0.0,0.2023911187019641,0.05561205,0.0541827271096152,17.078285714285716,0.8744264506674733,-0.133445945945946,0.0136377439748226,6.242722451384795,107.53165963119304,-0.0163475712522186,0.5029641288922148,3.559416755575878,-0.0005490815490815,0.0
2021-01-06,20210106,虎丘,阴,4,-6,51,2,北风,3级,良,6.1,7.51,11.61,3.69,0.025,0.037,0.4,356.1,73.4,0.002,2484680.0,3.0,0.0,7.43,20.4,10.526315789473683,70.821,1.3756666666666666,138.443,0.0007786312499999,45.81099999999999,0.0623441396508728,0.9340794251528324,0.0277375,0.0134408602150537,0.0,714.7900125,1.0464788732394366,356.1,236.844,0.2975609756097561,0.0,0.0998655913978494,2.6228518838693624,45.36233158879247,0.2024985029970259,3.0197609999999973,0.59284512631372,0.9038985120023154,97.64032258064516,0.0,0.1983225987118454,0.0871249229999999,0.0660844455661623,21.348169014084505,0.8868836782224016,0.3691458852867829,0.0212933030699039,6.810932385708797,91.7631443108915,0.0366371002132196,0.5029641288922148,5.168851873884592,0.0004213021304391,0.0
2021-01-07,20210107,虎丘,阴-多云,-4,-8,71,2,西北风,4级,良,5.5,7.51,11.61,3.24,0.025,0.035,0.44,362.1,61.4,0.002,2416220.0,-4.5,0.0,8.62,27.7,12.22222222222222,63.855,1.2383333333333335,135.443,0.0007786312499999,41.305,0.0566893424036281,0.9196346925296676,0.0277375,0.016025641025641,0.0,714.7900125,1.326153846153846,362.1,264.6838125,0.197841726618705,0.0,0.1381410256410256,2.6228518838693624,45.36233158879247,0.2067090278768338,3.0197609999999973,0.6253520705621202,1.0697138682844118,160.73990384615385,0.0,0.1758606444505645,0.1010789819999999,0.0960232938031694,26.195423481054306,0.7977166994454977,0.3356632653061223,0.0325804305757135,7.305774680073125,111.84935026796856,0.042168396226415,0.5029641288922148,2.576924072252989,0.0004076844903064,0.0
2021-01-08,20210108,虎丘,多云-晴,0,-7,48,1,西北风,4级,优,2.5,7.51,12.36,5.16,0.025,0.075,0.43,374.1,178.7,0.002,5401120.0,-4.7,0.0,13.49,21.8,4.597964891111039,30.9,1.4116666666666668,175.20675,0.0007786312499999,18.775,-0.0219473874079137,0.9038273227479552,0.0044374999999999,0.0055648302726766,0.0,714.7900125,1.429746485618134,374.1,264.6838125,0.1141552511415525,-0.0,0.0750695603784084,2.6228518838693624,45.36233158879247,0.0219969230673927,3.214835999999997,0.0949754296602237,1.168611653202209,45.38330550918197,0.0,0.08237803252466,0.1684037639999999,0.0117145336309824,26.195423481054306,0.3608965599422187,-0.1577477477477477,0.0121866169445468,1.2553229470950988,39.66232443053635,-0.0163475712522186,0.5029641288922148,1.9500218927878896,-0.000617348358375,0.0
2021-01-09,20210109,虎丘,晴,4,-5,51,2,西北风,3级,良,1.2,7.51,12.97,5.4,-1.0,-1.0,0.42000000000000004,373.8,138.8,0.001,4136340.0,-2.1,0.0,13.45,14.8,4.597964891111039,15.564,1.1333333333333335,169.913,0.0007786312499999,9.012,0.1427788220551378,0.9152424361080403,0.0044374999999999,0.0071530758226037,0.0,714.7900125,1.429746485618134,373.8,191.956,0.0805369127516778,-0.0,0.09620886981402,2.6228518838693624,45.36233158879247,0.0094029623606037,3.3734969999999973,0.0949754296602237,2.568137348171061,39.5725321888412,0.0,0.0415261472785485,0.1761909649999999,0.0194016123373077,26.195423481054306,0.1732503595882521,2.178065615021203,0.0150326359084406,0.8049975206611569,12.927645945552484,0.0563308636547058,0.5029641288922148,2.020449529300482,0.007307002770685,0.0
2021-01-10,20210110,虎丘,阴-多云,5,-3,71,2,西北风,2级,良,2.3,7.5,12.87,4.96,-1.0,-1.0,0.41000000000000003,385.4,57.8,0.0005,1761080.0,-1.0,0.0,12.87,10.8,4.597964891111039,29.601,0.5842124999999999,140.98999999999998,0.0007786312499999,17.25,0.1427788220551378,0.9360122455083844,0.0044374999999999,0.0170068027210884,0.0,624.24,1.429746485618134,385.4,138.996,0.2110091743119266,-0.0,0.2188775510204081,2.6228518838693624,45.36233158879247,0.0593218146983624,3.2175,0.0949754296602237,2.568137348171061,70.78775510204082,-0.0,0.0766071428571428,0.1656368999999999,0.115325688842075,26.195423481054306,0.330608301483452,2.178065615021203,0.2961623176957005,3.840960207612457,17.929839757470766,0.016896896139585,0.5029641288922148,7.46081979631344,0.0295467824946822,-0.0
